Year,Country of Asylum Code,Country of Asylum Name,Population Type,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2005,ECU,Ecuador,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,EST,Estonia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,FIN,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2005,FRA,France,REF,0,0,0,0,0,343,343,0,0,0,0,0,300,300,643
2005,GBR,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484
2005,DEU,Germany,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
2005,DEU,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56276
2005,GRC,Greece,ASY,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2005,GRC,Greece,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2005,HUN,Hungary,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2005,HUN,Hungary,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
2005,ISL,Iceland,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ISL,Iceland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2005,IRL,Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
2005,ISR,Israel,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ITA,Italy,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2005,JOR,Jordan,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NLD,Netherlands,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2005,NLD,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390
2005,NOR,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
2005,NZL,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,PAN,Panama,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,PER,Peru,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,POL,Poland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2005,ROU,Romania,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,RUS,Russian Federation,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ESP,Spain,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
2005,SVK,Slovakia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2005,SVK,Slovakia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2005,SWE,Sweden,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
2005,SWE,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
2005,CHE,Switzerland,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2005,CHE,Switzerland,REF,0,0,0,8,0,11,19,0,0,0,5,0,7,12,31
2005,UKR,Ukraine,RET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,URY,Uruguay,REF,0,0,0,6,0,0,6,0,0,0,6,0,0,6,12
2005,USA,United States of America,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564
2005,USA,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24256
2006,ARG,Argentina,ASY,0,0,0,5,0,0,5,0,0,0,6,0,0,6,11
2006,ARG,Argentina,REF,0,0,0,5,0,0,5,0,0,0,6,0,0,6,11
2006,AUS,Australia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2006,AUS,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2006,AUT,Austria,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721
2006,AUT,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
2006,BEL,Belgium,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2006,BEL,Belgium,REF,0,0,0,0,0,65,65,0,0,0,0,0,61,61,126
2006,BIH,Bosnia and Herzegovina,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,CAN,Canada,ASY,0,0,0,0,0,148,148,0,0,0,0,0,130,130,283
2006,CAN,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177
2006,CYP,Cyprus,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870
2006,CYP,Cyprus,REF,0,0,0,0,0,7,7,0,0,0,0,0,7,7,14
2006,CZE,Czechia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658
2006,CZE,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
2006,DNK,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2006,ECU,Ecuador,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,EST,Estonia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,FIN,Finland,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2006,FIN,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2006,FRA,France,REF,0,0,0,0,0,357,357,0,0,0,0,0,306,306,663
2006,GBR,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492
2006,DEU,Germany,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
2006,DEU,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16446
2006,GRC,Greece,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2006,HUN,Hungary,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2006,HUN,Hungary,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2006,ISL,Iceland,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
